省份,城市,城市代码,市辖区县,市辖区县代码,城镇,城镇代码
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,香山乡,640502200000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,中卫山羊选育场,640502400000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,中卫工业园区,640502401000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,建塘镇,533401101000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,小中甸镇,533401102000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,虎跳峡镇,533401103000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,金江镇,533401104000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,上江乡,533401201000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,三坝纳西族乡,533401202000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,洛吉乡,533401203000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,尼西乡,533401204000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,格咱乡,533401205000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,东旺乡,533401206000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,五境乡,533401207000
云南省,迪庆藏族自治州,533400000000,香格里拉市,533401000000,迪庆扶贫民族经济开发区,533401501000
陕西省,商洛市,611000000000,柞水县,611026000000,乾佑街道,611026001000
陕西省,商洛市,611000000000,柞水县,611026000000,营盘镇,611026101000
陕西省,商洛市,611000000000,柞水县,611026000000,下梁镇,611026102000
陕西省,商洛市,611000000000,柞水县,611026000000,小岭镇,611026104000
陕西省,商洛市,611000000000,柞水县,611026000000,凤凰镇,611026105000
陕西省,商洛市,611000000000,柞水县,611026000000,红岩寺镇,611026106000
陕西省,商洛市,611000000000,柞水县,611026000000,曹坪镇,611026107000
陕西省,商洛市,611000000000,柞水县,611026000000,杏坪镇,611026109000
陕西省,商洛市,611000000000,柞水县,611026000000,瓦房口镇,611026110000
陕西省,商洛市,611000000000,镇安县,611025000000,永乐街道,611025001000
陕西省,商洛市,611000000000,镇安县,611025000000,回龙镇,611025101000
陕西省,商洛市,611000000000,镇安县,611025000000,铁厂镇,611025102000
陕西省,商洛市,611000000000,镇安县,611025000000,大坪镇,611025103000
陕西省,商洛市,611000000000,镇安县,611025000000,米粮镇,611025104000
陕西省,商洛市,611000000000,镇安县,611025000000,茅坪回族镇,611025105000
陕西省,商洛市,611000000000,镇安县,611025000000,西口回族镇,611025106000
陕西省,商洛市,611000000000,镇安县,611025000000,高峰镇,611025107000
陕西省,商洛市,611000000000,镇安县,611025000000,青铜关镇,611025108000
陕西省,商洛市,611000000000,镇安县,611025000000,柴坪镇,611025109000
陕西省,商洛市,611000000000,镇安县,611025000000,达仁镇,611025110000
陕西省,商洛市,611000000000,镇安县,611025000000,木王镇,611025111000
陕西省,商洛市,611000000000,镇安县,611025000000,云盖寺镇,611025113000
陕西省,商洛市,611000000000,镇安县,611025000000,庙沟镇,611025114000
陕西省,商洛市,611000000000,镇安县,611025000000,月河镇,611025117000
陕西省,商洛市,611000000000,镇安县,611025000000,黑窑沟林厂,611025400000
陕西省,商洛市,611000000000,镇安县,611025000000,木王林厂,611025401000
陕西省,商洛市,611000000000,镇安县,611025000000,镇安县苗圃,611025402000
陕西省,商洛市,611000000000,山阳县,611024000000,城关街道,611024001000
陕西省,商洛市,611000000000,山阳县,611024000000,十里铺街道,611024002000
陕西省,商洛市,611000000000,山阳县,611024000000,高坝店镇,611024101000
陕西省,商洛市,611000000000,山阳县,611024000000,天竺山镇,611024102000
陕西省,商洛市,611000000000,山阳县,611024000000,中村镇,611024103000
陕西省,商洛市,611000000000,山阳县,611024000000,银花镇,611024104000
陕西省,商洛市,611000000000,山阳县,611024000000,西照川镇,611024105000
陕西省,商洛市,611000000000,山阳县,611024000000,漫川关镇,611024106000
陕西省,商洛市,611000000000,山阳县,611024000000,南宽坪镇,611024107000
陕西省,商洛市,611000000000,山阳县,611024000000,户家塬镇,611024108000
陕西省,商洛市,611000000000,山阳县,611024000000,杨地镇,611024109000
陕西省,商洛市,611000000000,山阳县,611024000000,小河口镇,611024111000
陕西省,商洛市,611000000000,山阳县,611024000000,色河铺镇,611024112000
陕西省,商洛市,611000000000,山阳县,611024000000,板岩镇,611024113000
陕西省,商洛市,611000000000,山阳县,611024000000,延坪镇,611024116000
陕西省,商洛市,611000000000,山阳县,611024000000,两岭镇,611024117000
